Loading channels: ...working... done
facetorch                      0.0.7    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.0.8    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.3    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.1.5    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.2.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.2.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.2.3    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.2.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.3.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.3.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.4.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.4.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.4.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
facetorch                      0.5.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
fcd_torch                      1.0.7    pyh9f0ad1d_0  anaconda/cloud/conda-forge
fft-conv-pytorch               1.2.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
flowtorch                        0.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
flowtorch                        0.5    pyhd8ed1ab_0  anaconda/cloud/conda-forge
flowtorch                        0.6    pyhd8ed1ab_0  anaconda/cloud/conda-forge
flowtorch                        0.7    pyhd8ed1ab_0  anaconda/cloud/conda-forge
flowtorch                        0.8    pyhd8ed1ab_0  anaconda/cloud/conda-forge
functorch                      0.1.1 py310hf2bf0cb_1  anaconda/cloud/conda-forge
functorch                      0.1.1  py37h904f2ee_0  anaconda/cloud/conda-forge
functorch                      0.1.1  py37h904f2ee_1  anaconda/cloud/conda-forge
functorch                      0.1.1  py38h27093af_0  anaconda/cloud/conda-forge
functorch                      0.1.1  py38h27093af_1  anaconda/cloud/conda-forge
functorch                      0.1.1  py39h9e16731_0  anaconda/cloud/conda-forge
functorch                      0.1.1  py39h9e16731_1  anaconda/cloud/conda-forge
functorch                      0.2.0 py310hefbd1e2_0  anaconda/cloud/conda-forge
functorch                      0.2.0  py37h6a93569_0  anaconda/cloud/conda-forge
functorch                      0.2.0  py38h23e28b6_0  anaconda/cloud/conda-forge
functorch                      0.2.0  py39h709f2b4_0  anaconda/cloud/conda-forge
functorch                      0.2.1 py310h614879f_1  anaconda/cloud/conda-forge
functorch                      0.2.1 py310hefbd1e2_0  anaconda/cloud/conda-forge
functorch                      0.2.1  py37h6a93569_0  anaconda/cloud/conda-forge
functorch                      0.2.1  py38h23e28b6_0  anaconda/cloud/conda-forge
functorch                      0.2.1  py38h55c27af_1  anaconda/cloud/conda-forge
functorch                      0.2.1  py39h66be336_1  anaconda/cloud/conda-forge
functorch                      0.2.1  py39h709f2b4_0  anaconda/cloud/conda-forge
functorch                     1.13.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
functorch                     1.13.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
functorch                      2.0.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
geotorch                       0.3.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.0.1            py_0  anaconda/cloud/conda-forge
